comic_id,A1Q1,A1Q2,A1Q3,A1Q4,A1Q5,A2Q1,A2Q2,A2Q3,A2Q4,A2Q5,A3Q1,A3Q2,A3Q3,A3Q4,A3Q5,A4Q1,A4Q2,A4Q3,A4Q4,A4Q5,A5Q1,A5Q2,A5Q3,A5Q4,A5Q5,A6Q1,A6Q2,A6Q3,A6Q4,A6Q5,A7Q1,A7Q2,A7Q3,A7Q4,A7Q5,A8Q1,A8Q2,A8Q3,A8Q4,A8Q5,A9Q1,A9Q2,A9Q3,A9Q4,A9Q5,A10Q1,A10Q2,A10Q3,A10Q4,A10Q5,A11Q1,A11Q2,A11Q3,A11Q4,A11Q5,A12Q1,A12Q2,A12Q3,A12Q4,A12Q5
explosm_5,['Yes'],"['Present, contribute']",['3'],"['Text', 'Visual']","['Exaggeration', 'Pun']",['Yes'],"['Present, contribute']",['3'],['Visual'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['3'],['Visual'],"['Sarcasm', 'Pun', 'Surprise']",,,,,,,,,,,,,,,
explosm_17,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['1'],['Text'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],['Text'],['Surprise'],,,,,,,,,,
explosm_61,['Yes'],['Absent'],['1'],['Text'],['Pun'],['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_127,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark']",['Yes'],['Absent'],['2'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,
explosm_175,['Yes'],"['Present, contribute']",['2'],['Visual'],"['Surprise', 'Dark']",['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Surprise', 'Dark']",,,,,,,,,,,,,,,
explosm_259,['Yes'],['Absent'],['2'],['Text'],['Surprise'],['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Sarcasm', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_333,['No'],['Absent'],['NA'],['NA'],['NA'],['Yes'],['Absent'],['1'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Exaggeration', 'Silliness', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_417,['Yes'],['Absent'],['2'],['Visual'],['Surprise'],['Yes'],['Absent'],['2'],['Visual'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_458,['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_556,['Yes'],"['Present, do not contribute']",['2'],['Text'],"['Surprise', 'Dark']",['Yes'],"['Present, do not contribute']",['2'],['Text'],['Dark'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_619,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Sarcasm', 'Surprise']",['Yes'],['Absent'],['1'],['Text'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_644,['Yes'],['Absent'],['5'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],['Absent'],['4'],['Text'],['Pun'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['5'],['Text'],"['Pun', 'Sarcasm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_727,['Yes'],['Absent'],['1'],['Text'],"['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Text'],['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_762,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],['Absent'],['4'],['Visual'],"['Exaggeration', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_796,['Yes'],['Absent'],['5'],"['Text', 'Visual']","['Exaggeration', 'Silliness']",['Yes'],['Absent'],['5'],['Text'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_881,['Yes'],['Absent'],['3'],['Text'],"['Exaggeration', 'Pun', 'Dark']",['Yes'],['Absent'],['3'],['Text'],['Exaggeration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1003,['Yes'],"['Present, contribute']",['1'],['Text'],"['Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Text'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],['Text'],['Dark']
explosm_1121,['Yes'],"['Present, contribute']",['1'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],"['Present, do not contribute']",['3'],"['Text', 'Visual']",['Silliness'],,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['1'],"['Text', 'Visual']",['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
