comic_id,potentially_harmful
explosm_5,non-harm
explosm_6,non-harm
explosm_8,non-harm
explosm_9,non-harm
explosm_17,non-harm
explosm_24,harm
explosm_36,non-harm
explosm_38,harm
explosm_61,non-harm
explosm_67,harm
explosm_74,non-harm
explosm_114,harm
explosm_127,harm
explosm_136,non-harm
explosm_138,non-harm
explosm_152,harm
explosm_175,non-harm
explosm_180,harm
explosm_210,non-harm
explosm_255,harm
explosm_259,non-harm
explosm_272,non-harm
explosm_322,non-harm
explosm_326,non-harm
explosm_333,non-harm
explosm_361,non-harm
explosm_396,non-harm
explosm_401,non-harm
explosm_417,non-harm
explosm_429,non-harm
explosm_448,non-harm
explosm_450,non-harm
explosm_458,harm
explosm_468,non-harm
explosm_482,non-harm
explosm_540,harm
explosm_556,non-harm
explosm_566,non-harm
explosm_580,non-harm
explosm_584,non-harm
explosm_619,non-harm
explosm_625,non-harm
explosm_629,harm
explosm_639,non-harm
explosm_644,non-harm
explosm_669,non-harm
explosm_691,non-harm
explosm_698,non-harm
explosm_727,non-harm
explosm_728,non-harm
explosm_752,harm
explosm_761,non-harm
explosm_762,harm
explosm_779,non-harm
explosm_781,non-harm
explosm_783,non-harm
explosm_796,non-harm
explosm_826,non-harm
explosm_845,non-harm
explosm_846,harm
explosm_881,non-harm
explosm_897,non-harm
explosm_908,non-harm
explosm_969,non-harm
explosm_1003,non-harm
explosm_1062,non-harm
explosm_1080,non-harm
explosm_1102,non-harm
explosm_1121,non-harm
explosm_1135,non-harm
explosm_1137,non-harm
explosm_1149,non-harm
explosm_1150,non-harm
explosm_1156,non-harm
explosm_1158,non-harm
explosm_1165,non-harm
explosm_1184,harm
explosm_1199,non-harm
explosm_1210,harm
explosm_1219,non-harm
explosm_1230,non-harm
explosm_1231,non-harm
explosm_1251,non-harm
explosm_1268,non-harm
explosm_1289,non-harm
explosm_1336,non-harm
explosm_1340,non-harm
explosm_1346,non-harm
explosm_1353,non-harm
explosm_1365,harm
explosm_1378,non-harm
explosm_1387,non-harm
explosm_1420,harm
explosm_1461,non-harm
explosm_1479,non-harm
explosm_1503,non-harm
explosm_1521,non-harm
explosm_1533,harm
explosm_1536,harm
explosm_1554,harm
explosm_1570,non-harm
explosm_1575,non-harm
explosm_1578,harm
explosm_1594,non-harm
explosm_1599,non-harm
explosm_1611,non-harm
explosm_1634,non-harm
explosm_1637,non-harm
explosm_1645,non-harm
explosm_1648,non-harm
explosm_1649,non-harm
explosm_1663,non-harm
explosm_1679,harm
explosm_1684,non-harm
explosm_1689,harm
explosm_1711,non-harm
