comic_id,explanation
explosm_127,"The core of the humor lies in its creative play on the phrase “my eyes are up here” and adapting it to the blind man. By following the narrative, we see that the first panel involves the blind man poking the lady in the chest area, with the lady yelling “my eyes are up here”. This phrase is commonly for people who can see and would be staring at the chest of women. Thus, it’s a creative play/twist on the phrase for the blind man; treating the stick as the way a blind man would “see”. In the second panel, the man then pokes the eye of the woman, leaning into the that twist of the phrase. "
explosm_3279,"The humor lies in playing with how the term “mixed signs” are used. In the conversation between the two characters, “mixed signs” was used in the context of a relationship between the green shirt lady and a construction worker. However, the “mixed signs” was conveyed in a literal sense (through the traffic signs which is appropriate because the partner in the relationship is a construction worker) in the following panels which subverts the expectation of the reader.  "
explosm_4467,The humor of this comic lies in breaking the fourth wall which makes it unexpected. We can see this by following the narrative of the comic where the magic pencil that can draw conclusions would then conclude the comic by killing the character with the green shirt. 
explosm_136,"A swingers club is a brothel (a place for paid sexual services). The humor lies in how the cell was able to be serviced despite the club being “couples only” as shown in the sign. To be serviced, the cell split into two (with an exaggerated schlorp sound) to become a “couple” to overcome the challenge of not being serviced when it was a single cell. "
explosm_1062,"The humor in this comic lies in the word “sixteen inches” being interpreted in a sexual manner. By following the narrative, we see that the lady in the green shirt is asking a salesperson the difference between a queen size and a king size bed. Upon answering the size difference (sixteen inches), a king appeared in the second panel affirming the answer which in this new context, is unexpected: involving sexual and dark humor connotations. "
explosm_1156,"The humor lies in playing with the idea of winning the orgy competition despite being last. In a typical competition (like racing), you would want to finish first. However, in this context, finishing last imply that the man lasted the longest: he would then become the best in this specific orgy competition. We can also see this with the last panel delivering the punchline by presenting the person with the gold trophy."
explosm_1199,"The humor lies in the last (punchline) panel where the person threaten to kill the guy if he wants his shoe back. By following the narrative, we can see how the man in the orange shirt said his (recently praised) shoes are from a dead man. Next, the man, whose shoes were stolen, appeared and mentioned that he is not dead. Finally, the punchline is delivered. This comic have connotations of dark humor. "
explosm_2591,"The humor lies in taking the phrase “suicidal thoughts” literally. By following the narrative, the man in the green shirt is comforting the man in the blue shirt who is having suicidal thoughts. In a typical scenario similar to this, the man that is having suicidal thoughts would want to talk about the difficulties that he is facing and try to resolve these thoughts. However, in the final (punchline) panel, he showed that he is having “suicidal thoughts” for others by telling the man in the green shirt to kill himself while crying to further amplify the humor. "
explosm_2938,"The humor lies in the way “cutting in line” was used literally instead of the usual expected way of jumping the queue. The humor is amplified with the second panel showing that the people are queuing for the Assisted Suicide Center, implying that cutting themselves (a behaviour associated with suicidal or dark thoughts) would ruin the business of this center and the person “cutting in line” should not do that"
explosm_4145,"The humor in this comic lies in the second character wearing the blue shirt taking advantage of the clapper lights feature. By following the narrative, we see that the blue shirt’s guy took off their clothes after the lights got turned off and on in the first three panels. Afterwhich, the character without clothes gave a (perverted) smirk/look at the other character with the green shirt before clapping the lights to turn it off; implying sexual or suggestive actions taking place after the lights switched off. "
