comic_id,Q1,Q2,Q3,Q4,Q5
explosm_5,['Yes'],"['Present, contribute']",['3'],['Visual'],['Pun']
explosm_6,['Yes'],['Absent'],['2'],['Text'],"['Exaggeration', 'Surprise']"
explosm_8,['Yes'],['Absent'],['1'],['Both'],['Dark']
explosm_9,['Yes'],"['Present, contribute']",['2'],['Visual'],['Surprise']
explosm_17,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_24,['Yes'],"['Present, contribute']",['3'],['Text'],['Dark']
explosm_36,['Yes'],['Absent'],['2'],['Text'],"['Surprise', 'Sarcasm', 'Silliness']"
explosm_38,['Yes'],['Absent'],['2'],['Both'],"['Surprise', 'Dark']"
explosm_61,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_67,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_74,['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise', 'Dark']"
explosm_114,['Yes'],"['Present, contribute']",['2'],['Both'],"['Surprise', 'Dark']"
explosm_127,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark']"
explosm_136,['Yes'],"['Present, do not contribute']",['3'],['Both'],"['Personification', 'Dark']"
explosm_138,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Silliness']"
explosm_152,['Yes'],['Absent'],['2'],['Both'],"['Exaggeration', 'Pun', 'Silliness']"
explosm_175,['Yes'],"['Present, contribute']",['2'],['Visual'],"['Surprise', 'Dark']"
explosm_180,['Yes'],['Absent'],['3'],['Text'],['Pun']
explosm_210,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_255,['Yes'],['Absent'],['2'],['Text'],['Pun']
explosm_259,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_272,['Yes'],['Absent'],['4'],['Both'],"['Surprise', 'Dark']"
explosm_322,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_326,['Yes'],['Absent'],['3'],['Text'],"['Pun', 'Dark']"
explosm_333,['Yes'],['Absent'],['1'],['Visual'],['Silliness']
explosm_361,['Yes'],['Absent'],['6'],['Both'],['Comparison']
explosm_396,['No'],['Absent'],['NA'],['NA'],['NA']
explosm_401,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_417,['Yes'],['Absent'],['2'],['Visual'],['Surprise']
explosm_429,['Yes'],"['Present, contribute']",['2'],['Text'],['Silliness']
explosm_448,['Yes'],['Absent'],['3'],['Both'],"['Surprise', 'Dark']"
explosm_450,['Yes'],['Absent'],['2'],['Both'],"['Pun', 'Dark']"
explosm_458,['Yes'],"['Present, contribute']",['2'],['Both'],"['Surprise', 'Dark']"
explosm_468,['Yes'],"['Present, do not contribute']",['2'],['Both'],"['Silliness', 'Surprise', 'Dark']"
explosm_482,['Yes'],['Absent'],['2'],['Both'],"['Silliness', 'Surprise']"
explosm_540,['Yes'],['Absent'],['3'],['Visual'],['Dark']
explosm_556,['Yes'],"['Present, do not contribute']",['2'],['Text'],['Dark']
explosm_566,['Yes'],"['Present, do not contribute']",['3'],['Both'],['Pun']
explosm_580,['Yes'],['Absent'],['1'],['Both'],['Comparison']
explosm_584,['Yes'],['Absent'],['2'],['Text'],"['Silliness', 'Exaggeration', 'Pun']"
explosm_619,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_625,['Yes'],['Absent'],['3'],['Text'],['Sarcasm']
explosm_629,['Yes'],['Absent'],['4'],['Both'],['Silliness']
explosm_639,['Yes'],"['Present, do not contribute']",['4'],['Visual'],['Exaggeration']
explosm_644,['Yes'],['Absent'],['5'],['Text'],['Pun']
explosm_669,['Yes'],['Absent'],['2'],['Text'],"['Pun', 'Surprise']"
explosm_691,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_698,['Yes'],"['Present, do not contribute']",['5'],['Visual'],"['Pun', 'Silliness', 'Surprise', 'Exaggeration']"
explosm_727,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_728,['Yes'],"['Present, contribute']",['3'],['Text'],['Silliness']
explosm_752,['Yes'],"['Present, contribute']",['2'],['Both'],['Surprise']
explosm_761,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_762,['Yes'],['Absent'],['4'],['Visual'],"['Surprise', 'Dark']"
explosm_779,['Yes'],['Absent'],['2'],['Both'],['Pun']
explosm_781,['Yes'],['Absent'],['1'],['Visual'],['Surprise']
